,ref,year,var,question
0,E0021901,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 01,EMP_HOURS_199901
1,E0021902,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 02,EMP_HOURS_199902
2,E0021903,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 03,EMP_HOURS_199903
3,E0021904,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 04,EMP_HOURS_199904
4,E0021905,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 05,EMP_HOURS_199905
5,E0021906,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 06,EMP_HOURS_199906
6,E0021907,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 07,EMP_HOURS_199907
7,E0021908,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 08,EMP_HOURS_199908
8,E0021909,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 09,EMP_HOURS_199909
9,E0021910,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 10,EMP_HOURS_199910
10,E0021911,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 11,EMP_HOURS_199911
11,E0021912,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 12,EMP_HOURS_199912
12,E0021913,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 13,EMP_HOURS_199913
13,E0021914,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 14,EMP_HOURS_199914
14,E0021915,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 15,EMP_HOURS_199915
15,E0021916,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 16,EMP_HOURS_199916
16,E0021917,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 17,EMP_HOURS_199917
17,E0021918,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 18,EMP_HOURS_199918
18,E0021919,XRND,1999 EMPLOYMENT: TOTAL HOURS WORKED WEEK 19,EMP_HOURS_199919
