finc_ws,a_age,a_sex,a_hga,prdtrace,peridnum,ptotval,axsex,pxrace1,tcernval
,1,Female,16,0,336600971103380   -1-1,,1,,
,1,Female,1,0,336600971103380   -1-1,12234,,Blank - no change,
,1,Female,26,0,336600971103380   -1-1,,1,,
,1,,1,0,338600001103000   -1-1,12186,,Blank - no change,
,1,,1,0,338600001103000   -1-1,,,Blank - no change,
,1,Female,1,0,338600001103000   -1-1,,,Blank - no change,
,1,Female,1,0,266200001103000   -1-1,,1,Not allocated,
,1,Female,1,0,138200001105000   -1-1,12277,,Blank - no change,
,1,Female,1,0,138200001105000   -1-1,12172,8,Not allocated,
,1,Female,1,0,138200001105000   -1-1,12172,,Blank - no change,
,1,Female,1,0,138200001105000   -1-1,,6,4,
,1,Female,1,0,138200001105000   -1-1,22271,1,Refused - no change,
,1,Female,1,0,138200001105000   -1-1,12213,Allocated,4,
,1,Female,1,0,138200001105000   -1-1,12213,Allocated,4,
,1,Female,1,0,138200001105000   -1-1,12224,Allocated,4,
,1,,1,0,138200001105000   -1-1,12181,1,6,
,1,,1,0,138200001105000   -1-1,12181,8,Don't know - no change,
,1,Female,16,0,338600002103000   -1-1,,1,,
,1,Female,1,0,138200002105000   -1-1,12171,No change,4,
,1,Female,1,0,138200002105000   -1-1,,,Blank - no change,
,1,Female,1,0,138200002105000   -1-1,12167,8,Don't know - no change,
,1,Female,1,0,138200002105000   -1-1,12167,,Blank - no change,
,1,Female,1,0,138200002105000   -1-1,,,Blank - no change,
,1,Female,1,0,138200002105000   -1-1,11176,,Blank - no change,
,1,Female,1,0,338600002103000   -1-1,12177,6,5,
,1,Female,1,0,338600002103000   -1-1,12177,Allocated,Refused - no change,
,1,Female,1,0,338600002103000   -1-1,22257,1,4,
,1,Female,1,0,266200002103000   -1-1,12164,7,Not allocated,
,1,,1,0,336600972103380   -1-1,,,Blank - no change,
,1,,1,0,336600972103380   -1-1,12220,,Blank - no change,
,1,,1,0,336600972103380   -1-1,11242,,Blank - no change,
,1,,1,0,336600972103380   -1-1,,,Blank - no change,
,1,Female,1,0,336600972103380   -1-1,,,Blank - no change,
,1,Female,1,0,336600972103380   -1-1,,,Blank - no change,
,1,Female,1,0,338600002103000   -1-1,,,Blank - no change,
,1,Female,1,0,338600002103000   -1-1,,,Blank - no change,
,1,Female,1,0,138200002105000   -1-1,12219,9,Not allocated,
,1,Female,1,0,138200002105000   -1-1,12219,,Blank - no change,
,1,Female,1,0,138200002105000   -1-1,,7,4,
,1,Female,1,0,138200002105000   -1-1,,9,Not allocated,
